	minimum	maximum																								
4.1.13	9	2																								
4.2.13	9	-1																								
4.3.13	11	5																								
4.4.13	10	5																								
4.5.13	10	4																								
4.6.13	10	3																								
4.7.13	10	3																								
4.8.13	11	0																								
4.9.13	11	5																								
4.10.13	12	3																								
4.11.13	11	1																								
4.12.13	12	2																								
4.13.13	12	2																								
4.14.13	12	2																								
4.15.13	13	3																								
4.16.13	13	5												
4.17.13	14	4												
4.18.13	14	4												
4.19.13	14	5												
4.20.13	15	5												
4.21.13	16	7												
4.22.13	16	7												
4.23.13	16	8												
4.24.13	18	9												
4.25.13	19	9												
4.26.13	20	10												
4.27.13	22	11												
4.28.13	19	10												
4.29.13	19	9												
4.30.13	18	10												
														
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
